,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
70569,17 Avenue Kl ber 16th arr 75016 Paris France,56,12/10/2015,8.7,H tel Raphael, Israel , The WiFi works very badly it s ridiculous the guest has to renew hs log in every 24 hrs ,21,282, The staff service particulary the Deputy Manager Mr To The beauty style of the hotel it s cleanliness the Terrace on the 7 is unique should be put to use Bar Caf even in winter with a glass coupole ,41,1,9.6,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 4 nights ']",602 day,48.8713239,2.2937849,"48.8713239,2.2937849",Paris
217080,58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,9/18/2015,8.6,Dorsett Shepherds Bush, Saudi Arabia , Improvement in the room design and more cleaning facilities ,11,2890, It s location marvelous ,6,2,8.3,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",685 day,51.5039399,-0.2244232,"51.5039399,-0.2244232",London
331753,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,257,7/7/2016,9.2,Catalonia Passeig de Gr cia 4 Sup, Kuwait , In the morning I can hear noises from outside come from room service,14,2116,No Positive,0,3,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",392 day,41.3901396,2.1696699,"41.3901396,2.1696699",Barcelona
184112,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,3/2/2017,8.7,St James Court A Taj Hotel London, , the bath tube was not very clean ,9,5394, Iwas surprised the hotel served a healthy breakfast and includes an omelette with egg whites only ,18,1,7.9,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']",154 day,51.4986732,-0.13768670000000002,"51.4986732,-0.13768670000000002",City of Westminster
296903,Cardington Street Euston Camden London NW1 2LP United Kingdom,744,11/19/2015,8.3,Thistle Euston, New Zealand , Bathroom was filthy,4,2474,No Positive,0,1,5.8,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",623 day,51.5291423,-0.13727820000000002,"51.5291423,-0.13727820000000002",London
291571,Burggasse 2 07 Neubau 1070 Vienna Austria,101,11/5/2016,9.4,Hotel Sans Souci Wien, United Kingdom , The only fault we can find is that there could be a few more places to hang stuff in the bathroom but when everything else was so excellent it s almost ridiculous to write that ,37,824, Everything was excellent comfort staff location food Couldn t fault anything You will not be disappointed if you book this hotel ,23,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",271 day,48.204576,16.3563661,"48.204576,16.3563661",Wien
110443,22 Portman Square Westminster Borough London W1H 7BG United Kingdom,597,9/26/2015,7.9,Radisson Blu Portman Hotel London, United Kingdom , Car parking the mini bar dry cleaning and other ancillary services are expensive ,15,2308, The location just behind Oxford Street is really convenient for all of central London and West End The room was extremely comfortable very clean and the staff were friendly and helpful ,33,20,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",677 day,51.5161911,-0.1579487,"51.5161911,-0.1579487",City of Westminster
153270,335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,3/7/2016,9.0,The Westbridge Hotel, United Kingdom , poached eggs took forever ,6,1200, Bedrooms very comfortable and clean,6,2,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",514 day,51.5373904,-0.0023366999999999997,"51.5373904,-0.0023366999999999997",London
36989,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,4/27/2016,7.8,Park International Hotel, Austria , 3 bed room a bit small for 3 adults but sufficient ,13,1252, Perfect Hotel to explore London Directly located at Piccadilly Circle District Line to reach Heathrow Airport and other major places of interest Breakfast was very fine and various very good price performance ratio Perfect Room cleaning and friendly staff Room was located in the direction of the main road but street noise was not disturbing ,57,1,9.2,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 4 nights ']",463 day,51.4945144,-0.1866172,"51.4945144,-0.1866172",London
482076,Via Mauro Macchi 1 Central Station 20124 Milan Italy,65,12/15/2015,8.4,Hotel Mediolanum, Turkey , Uncomfortable bed,3,885, Rich breakfast buffet Large rooms Good location,8,9,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']",597 day,45.481342299999994,9.2039494,"45.481342299999994,9.2039494",Milano
47662,14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,8/16/2016,7.5,Saint Georges Hotel, Saudi Arabia , Breakfast is not included Bathroom s door is old and didn t close Internet is very weak and too bad,21,2092, Perfect location Air conditioning Minibar Nice View The Room is quite large,13,1,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",352 day,51.517839,-0.1424476,"51.517839,-0.1424476",City of Westminster
202301,5 rue des Capucines 1st arr 75001 Paris France,73,6/19/2016,8.6,H tel Mansart Esprit de France, Switzerland , Wifi is weak,4,611, Location,2,52,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",410 day,48.8684776,2.3298238,"48.8684776,2.3298238",Paris
292470,Calabria 90 92 Eixample 08015 Barcelona Spain,185,5/29/2017,8.8,TWO Hotel Barcelona by Axel 4 Sup Adults Only, Germany , my room was on the backside to a public playground there was a lot of dog barking and loud conversations until midnight ,24,2336, I slept very well the air condition is easily adjustable ,12,6,8.3,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Ground Floor ', ' Stayed 1 night ']",66 days,41.379129999999996,2.1561186,"41.379129999999996,2.1561186",Barcelona
190827,44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,806,8/11/2015,7.8,Millennium Hotel London Mayfair, United Arab Emirates , the staff were normal attitude and they didn t gave us our room early we got it sharply at 14 00 although I mentioned that I will arrive early and will stay for 8 nights one of the staff said that I will give you the room at 12 00 but later on they changed their words another thing is the room cleaning which was slightly above poor level they didn t change the towels and bed sheets which was annoying ,83,3117, I liked the location which was in a secure area next to the US embassy and bed that led you to sleep for longer hours ,27,3,5.4,"[' Leisure trip ', ' Family with young children ', ' Club Double Room ', ' Stayed 8 nights ']",723 day,51.510574,-0.1509951,"51.510574,-0.1509951",City of Westminster
277828,Avenida Diagonal 596 Sarri St Gervasi 08021 Barcelona Spain,51,3/4/2017,8.9,Vincci Mae, Italy ,No Negative,0,546, One of best place to stay at barcelona clean new rooms and good comfort recommended ,17,15,10.0,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",152 day,41.3933943,2.1461315,"41.3933943,2.1461315",Barcelona
174275,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,9/8/2015,7.8,Millennium Gloucester Hotel London, Isle of Man , Nothing,2,5726, Gorgeous hotel Staff were extremely welcoming Easy location with tube station next door on the Piccadilly line ,19,6,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",695 day,51.493508299999995,-0.1834346,"51.493508299999995,-0.1834346",London
401842,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,71,8/25/2015,7.9,Hilton Diagonal Mar Barcelona, United Kingdom ,No Negative,0,503, Everything,2,7,10.0,"[' Leisure trip ', ' Couple ', ' King Hilton Executive Room with Access to Executive Lounge ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",709 day,41.4084334,2.2178205,"41.4084334,2.2178205",Barcelona
342519,Herrengasse 10 01 Innere Stadt 1010 Vienna Austria,342,2/24/2016,9.0,Steigenberger Hotel Herrenhof, Russia , Spa is very expensive ,6,2873, Perfect location and perfect breakfast ,7,17,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",526 day,48.209795799999995,16.3658705,"48.209795799999995,16.3658705",Wien
351053,Josefsgasse 4 6 08 Josefstadt 1080 Vienna Austria,227,7/4/2017,8.3,Mercure Josefshof Wien, Finland , We had A double bed but there was separated mattress pads so there was a hole between mattresses which was irritating when having sex ,26,2526, Great breakfast quiet big and clean room with completely darkening curtains Good aircondition location near metrostops ,18,4,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",30 days,48.2085627,16.3541687,"48.2085627,16.3541687",Wien
396639,Parkring 12a 01 Innere Stadt 1010 Vienna Austria,130,10/23/2016,8.2,Vienna Marriott Hotel, United States of America , Our room had an electrical problem that three staff couldn t figure out At one point the manager suggested maybe we could sleep with the light on ,29,939, The pool and fitness area are both really nice with generous opening times ,15,14,7.9,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",284 day,48.2050967,16.3770928,"48.2050967,16.3770928",Wien
380877,Molenwerf 1 1014 AG Amsterdam Netherlands,914,10/9/2016,8.5,Golden Tulip Amsterdam West, United States of America , Friendlier front desk staff ,6,7586,No Positive,0,4,7.5,"[' Leisure trip ', ' Family with young children ', ' Large Comfort Double or Twin Room ', ' Stayed 4 nights ']",298 day,52.385601,4.8470597,"52.385601,4.8470597",Amsterdam
11500,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,628,2/1/2017,8.1,Crowne Plaza London Kings Cross, United Kingdom , There were a small set of stairs between the lifts and the room may sound picky but with a big heavy case it was a real pain ,29,2312, The newly refurbished rooms are extremely comfortable well designed and the bathrooms are excellent Really impressed at the value for money ,23,5,10.0,"[' Business trip ', ' Solo traveler ', ' Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",183 day,51.5263854,-0.11360419999999999,"51.5263854,-0.11360419999999999",London
115827,23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,2/17/2017,7.0,Henry VIII, United Kingdom , didn t have time for breakfast,7,2937, Lovely spacious and well decorated room fast filling deep bath lovely,12,6,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",167 day,51.512465500000005,-0.182274,"51.512465500000005,-0.182274",City of Westminster
43768,13 Rue Jules Cesar 12th arr 75012 Paris France,88,6/23/2016,8.6,Le Marceau Bastille, Turkey , There were many mosquitos in the room while leaving the window of the room open We could not sleep well The management of the hotel should take measurements against it as there is unpleasant to overnight in a room without fresh air in the summer time ,48,1059,No Positive,0,14,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",406 day,48.8490691,2.3697484,"48.8490691,2.3697484",Paris
345229,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,843,11/21/2016,7.8,Hilton London Kensington Hotel, United Kingdom , View from the window but understand this can t be changed,12,3801, The bed was very comfy Nice location Nice and clean and welcoming ,14,1,10.0,"[' Leisure trip ', ' Couple ', ' Double Hilton Guestroom ', ' Stayed 1 night ', ' Submitted from a mobile device ']",255 day,51.5051084,-0.21326599999999998,"51.5051084,-0.21326599999999998",London
132157,29 31 rue des Ecoles 5th arr 75005 Paris France,90,6/12/2016,8.7,Hotel Atmospheres, Australia , As the nights are warming up a top sheet on the bed would have made things more comfortable as a full doona is not necessary ,27,654, Very conveniently located clean and attentive staff we would stay there again ,14,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",417 day,48.848538700000006,2.3479852,"48.848538700000006,2.3479852",Paris
409079,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,264,3/28/2016,8.7,Starhotels Anderson, Finland , Not perfect view from our room rooms starts to be a bit old fashioned,15,2698, easy to catch when arriving from airport via central railway station also metro stop was very close to the hotel easy to buy travel cards from hotel receptions one day 4 5 lady waitress in breakfast was friendly efficient and polite ,43,36,8.3,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 2 nights ']",493 day,45.4852549,9.206950099999998,"45.4852549,9.206950099999998",Milano
391430,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,5/31/2016,8.4,DoubleTree by Hilton Amsterdam Centraal Station, Thailand , Never ending banging of doors by cleaning staff on the floor going in and out of rooms been cleaned really very frustrating,23,3911, Overall everything was good as usual from location to breakfasts all good,13,12,7.9,"[' Business trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 5 nights ']",429 day,52.376752,4.904618,"52.376752,4.904618",Amsterdam
449388,Schwedenplatz 3 4 01 Innere Stadt 1010 Vienna Austria,177,9/30/2015,9.1,Hotel Capricorno, United Arab Emirates ,No Negative,0,2279, Great location on the river and in old town funky design friendly staff,14,3,9.6,"[' Leisure trip ', ' Couple ', ' Double Room with Balcony ', ' Stayed 2 nights ']",673 day,48.21115220000001,16.3788631,"48.21115220000001,16.3788631",Wien
344845,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,843,8/20/2015,7.8,Hilton London Kensington Hotel, Egypt , Friendly staff Hotel Cleanliness ,6,3801, The location of the hotel is brilliant very close to Westfield shopping mall as well to Shephard Bush station the hotel is clean and the staff are friendly I did not experience the Breakfast but I eat 3 times dinner the food is good and the bar staff are friendly it was my second time in the hotel and for sure I will be back again ,68,4,8.5,"[' Leisure trip ', ' Solo traveler ', ' Single Hilton Guest Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",714 day,51.5051084,-0.21326599999999998,"51.5051084,-0.21326599999999998",London
313476,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,309,10/17/2016,8.1,Bilderberg Garden Hotel, United Kingdom , Very expensive 15 for cheese toastie,7,2270,No Positive,0,10,7.1,"[' Business trip ', ' Couple ', ' Executive Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",290 day,52.351144700000006,4.8740764,"52.351144700000006,4.8740764",Amsterdam
168412,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,8/28/2015,8.1,Strand Palace Hotel, United Kingdom , Noisy and no air con,6,9568, Location,2,6,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",706 day,51.5110993,-0.1208673,"51.5110993,-0.1208673",City of Westminster
461149,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,8/8/2015,8.2,Ramada Apollo Amsterdam Centre, United Arab Emirates , Management policy they took 50 Euro but my room was blocked Cus of 15 Euro parking fee ,19,5770, Very helpful staff at counter ,7,6,7.5,"[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",726 day,52.3681299,4.8440847,"52.3681299,4.8440847",Amsterdam
103933,21 Gower Street Camden London WC1E 6HG United Kingdom,122,5/15/2017,7.8,The Academy, United Kingdom , Unhelpful with booking process Several phone calls to try and sort it out but had to solve problem myself in the end Not very clean Inclusive breakfast but only continental supplied Had option to pay extra for cooked breakfast ,41,612,No Positive,0,4,3.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",80 days,51.5205441,-0.1308091,"51.5205441,-0.1308091",London
381796,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,7/26/2017,8.5,Eurostars Grand Marina Hotel GL, Saudi Arabia , First room did not have slippers The second room did not have towel ropes,15,4559,No Positive,0,11,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room 1 2 Adults ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",8 days,41.371308,2.181698,"41.371308,2.181698",Barcelona
182846,41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,154,8/19/2015,8.0,La Suite West Hyde Park, Australia , Premises were good in great location but We purchased this in advance and paid in full as wedding gift for our niece On arrival they refused to let them check in as it was booked with our credit card My husband phoned from China where he was on business but they would only let them check in by paying again with their own card So they had to pay and we had to reimburse them urgently as they had no money after wedding in Italy Never had this problem before and even with a crying bride in reception they were prepared to toss them out with nowhere to go Definitely not recommend them to anyone it was bad and unfair treatment of guests who were on their honeymoon ,130,768, Great location but will never stay there again ,10,3,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 7 nights ']",715 day,51.5126758,-0.1867828,"51.5126758,-0.1867828",City of Westminster
502339,Weihburggasse 3 01 Innere Stadt 1010 Vienna Austria,173,4/20/2016,9.2,Hotel Kaiserin Elisabeth, France , nothing,2,1772, localisation staff large room perfect breakfast concierge service very quiet,11,20,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 10 nights ']",470 day,48.2072348,16.372238,"48.2072348,16.372238",Wien
319316,Epping Forest 30 Oak Hill London IG8 9NY United Kingdom,193,2/29/2016,7.5,Best Western PLUS Epping Forest, United Kingdom , We were told at reception to dial 0 from the phone We were unable to do this as there was no phone in our room ,27,587, The bed was comfortable and the breakfast was good,10,79,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",521 day,51.603207,0.010607,"51.603207,0.010607",London
387241,Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,538,9/7/2016,8.2,Inntel Hotels Amsterdam Centre, Hong Kong , Nil ,3,3342, It was a good experience staying at Inntel Amsterdam Its location is superb very close walking distance from the train station one side of the street is very busy but the other is quiet choice of both Breakfast is good not too expensive It is easy to go about places from the hotel ,55,6,8.3,"[' Leisure trip ', ' Solo traveler ', ' Executive Twin Room ', ' Stayed 6 nights ']",330 day,52.3760456,4.8943917,"52.3760456,4.8943917",Amsterdam
377027,Mariahilfer Stra e 122 Ecke Kaiserstra e 1 3 07 Neubau 1070 Vienna Austria,190,6/25/2016,8.5,IntercityHotel Wien, United Arab Emirates , Abit pricey in comparison to other similar hotels in the same area Window overlooked street and it was so noisy at night every night ,26,3003, The location was close to high street and metro the free transportation card came in handy ,18,24,7.1,"[' Leisure trip ', ' Couple ', ' Double Room with Public Transport Ticket ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",404 day,48.196587799999996,16.3413729,"48.196587799999996,16.3413729",Wien
185572,41 boulevard Saint Michel 5th arr 75005 Paris France,73,4/26/2016,9.1,Hotel le Lapin Blanc, United Kingdom ,No Negative,0,619, Extremely close to city centre,6,10,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ']",464 day,48.849180100000005,2.3423357000000005,"48.849180100000005,2.3423357000000005",Paris
406918,Piazza Fontana 3 Milan City Center 20122 Milan Italy,563,4/3/2016,8.6,Rosa Grand Milano Starhotels Collezione, Qatar , A bit noisy due bars open till late,9,4000, Best Location,3,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Superior Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",487 day,45.4638223,9.1940273,"45.4638223,9.1940273",Milano
152406,33 Rue Dauphine 6th arr 75006 Paris France,211,7/26/2016,9.4,H tel D Aubusson, Canada ,No Negative,0,941, Location ,3,1,10.0,"[' Leisure trip ', ' Couple ', ' Loft ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",373 day,48.854732899999995,2.3395277,"48.854732899999995,2.3395277",Paris
440775,Sarphatistraat 104 Amsterdam City Center 1018 GV Amsterdam Netherlands,61,6/22/2017,8.8,Hyatt Regency Amsterdam, Turkey ,No Negative,0,293, everything was perfect thanks again,6,2,10.0,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 2 nights ']",42 days,52.361775099999996,4.9118187,"52.361775099999996,4.9118187",Amsterdam
208878,52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,9/26/2016,8.8,The Montcalm At Brewery London City, United Kingdom , Nothing,2,2617, Staff extra friendly,4,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",311 day,51.520815500000005,-0.0915319,"51.520815500000005,-0.0915319",City of London
137037,3 rue de Bourgogne 7th arr 75007 Paris France,75,4/7/2016,8.9,H tel Bourgogne Montana by MH, United Kingdom , the ceiling of the room was eventually slightly low,10,545, Excellent location very quiet and comfortable room,8,14,9.2,"[' Business trip ', ' Solo traveler ', ' Classic Double Room La Parisienne ', ' Stayed 2 nights ']",483 day,48.860192700000006,2.318423,"48.860192700000006,2.318423",Paris
227079,64 76 Hendon Way London NW2 2NL United Kingdom,471,11/29/2016,7.9,Best Western Palm Hotel, United Kingdom , The bathroom smelt really bad as we had checked in and go into the room but didn t want to make a fuss and the smell seemed to stay,30,2037, The staff by far have been some of the most friendly hotel staff I have come across,18,1,5.4,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",247 day,51.5634756,-0.20427579999999998,"51.5634756,-0.20427579999999998",London
274304,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,612,4/24/2016,8.6,Urban Lodge Hotel, Australia , Not much really Room a bit small for 3 adults but hey you re not in there for long ,21,5018, Loved free access to tea coffee near bar Enjoyed the homely welcoming front bar large lounge area Perfect Staff also were so very friendly Decent breakfast for 11 50,30,12,7.5,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 3 nights ']",466 day,52.3856494,4.834443,"52.3856494,4.834443",Amsterdam
226180,626 Chiswick High St Chiswick London W4 5RY United Kingdom,562,10/15/2015,8.5,Clayton Hotel Chiswick, United Kingdom , Car park was closed for refurbishment but managed to get street parking right outside and understand the car park will reopen soon ,24,1944, Brand new room Huge very modern high quality fantastic bathroom Good cupboard space ample sockets Staff efficient and friendly ,21,3,10.0,"[' Business trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",658 day,51.4924184,-0.27847009999999994,"51.4924184,-0.27847009999999994",London
287902,Boltzmanngasse 8 09 Alsergrund 1090 Vienna Austria,61,3/21/2017,8.1,Hotel Boltzmann, United Kingdom , Breakfast not included and pricey,6,662, Very friendly staff,4,9,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",135 day,48.221677899999996,16.356711100000002,"48.221677899999996,16.356711100000002",Wien
403567,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,146,2/1/2017,9.1,The Rookery, United Kingdom , Room quite small fire was gas not real breakfast was not included,13,501, Breakfast in bed sitting by the fire in the lounge,11,8,8.8,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ']",183 day,51.520171000000005,-0.10246300000000001,"51.520171000000005,-0.10246300000000001",London
233228,7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,234,2/8/2017,6.9,Gainsborough Hotel, France , Noise of the street But a quiet street,9,1884, Place,2,3,9.2,"[' Leisure trip ', ' Solo traveler ', ' Family Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",176 day,51.4948416,-0.1772056,"51.4948416,-0.1772056",London
461932,Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,297,12/13/2016,8.3,Park Hotel, United Kingdom ,No Negative,0,2027, Great location Stylish and comfortable,6,9,10.0,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",233 day,52.3613814,4.8832594,"52.3613814,4.8832594",Amsterdam
81181,19 Brent Street Brent Cross London NW4 2EU United Kingdom,54,9/21/2016,8.6,The Pillar Hotel, United Kingdom , The male concierge working on reception when I checked out at 9am was very off hand and explained that he was about to leave when I arrived in reception as if I was an inconvenience It was raining outside and I had a heavy bag to carry up the steps to the car park there was no offer of any help he just watched me struggle Its a shame as it put a downer on what was otherwise a very pleasant stay ,84,215, The hotel was very gothic in style and was full of character and history The room was very clean and airy and had a really comfy bed and plenty of wardrobe space The hotel although very accessible to the ever busy A406 was very quiet and had plenty of parking ,52,4,7.5,"[' Business trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 2 nights ']",316 day,51.583236,-0.21686799999999998,"51.583236,-0.21686799999999998",London
356956,King s Cross St Pancras International Station Pancras Road Camden London N1C 4TB United Kingdom,303,10/6/2016,8.9,Great Northern Hotel A Tribute Portfolio Hotel London, United Kingdom , We thought the room was very small but had everything we needed for our stay ,17,1110,No Positive,0,1,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",301 day,51.531427,-0.126133,"51.531427,-0.126133",London
464835,Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,404,5/5/2017,9.1,Hotel Stefanie, United Kingdom , A hotel of this standard should have had a coffee tea maker provided I had to ask for one ,21,3883, A choice of pillows were available to guests ,10,9,8.8,"[' Leisure trip ', ' Group ', ' Double Room with Courtyard View ', ' Stayed 4 nights ']",90 days,48.2142766,16.3801779,"48.2142766,16.3801779",Wien
35176,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,6/7/2016,8.5,The Rembrandt, Netherlands , Bathroom smelled moody Room is old and needs overhaul Very worn ,13,1802,No Positive,0,1,5.4,"[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 4 nights ']",422 day,51.4959227,-0.17029170000000002,"51.4959227,-0.17029170000000002",London
207447,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,545,3/27/2017,8.0,Shaftesbury Hyde Park International, United Kingdom , Breakfast a little expensive,5,2907, very comfortable and a good location,7,3,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",129 day,51.5123968,-0.186124,"51.5123968,-0.186124",City of Westminster
105609,21 rue de Dunkerque 10th arr 75010 Paris France,740,2/2/2016,7.4,Mercure Paris Terminus Nord, Germany ,No Negative,0,5575, Good location staff friendly and happy to help,9,12,8.8,"[' Solo traveler ', ' Standard Room with 1 Single Bed ', ' Stayed 2 nights ']",548 day,48.8794843,2.3556545,"48.8794843,2.3556545",Paris
388356,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,623,8/24/2015,9.0,Apex City Of London Hotel, United States of America , Rooms are a little small but then it is London ,12,2750, Perfect location for The City Tower of London etc Close to Tube and DLR Nicely designed and high quality rooms Pleasant staff ,24,18,8.8,"[' Leisure trip ', ' Solo traveler ', ' City King or Twin Room ', ' Stayed 2 nights ']",710 day,51.5104624,-0.0795502,"51.5104624,-0.0795502",City of London
456717,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,4/13/2017,8.2,NH City Centre Amsterdam, Israel , At nights there was a lot of noise from the street below to the extent that it was impossible to sleep even though I had specifically asked for a quiet room while booking ,35,3417, The hotel location is excellent ,7,1,8.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",112 day,52.3697554,4.8887815,"52.3697554,4.8887815",Amsterdam
241463,71 79 Southwark Street Southwark London SE1 0JA United Kingdom,237,7/22/2016,8.5,Mercure London Bridge, Germany , empty mini bar ,5,947, complete refurbishment since I was last at this hotel and to a very good standard ,17,8,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Queen Room ', ' Stayed 2 nights ']",377 day,51.505258700000006,-0.099176,"51.505258700000006,-0.099176",London
